epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.40291,0,15.4655,0,0,0,0,0,0,13.3858,0,0,0,0
2,7.415,0,15.7247,0,0,0,0,0,0,13.3886,0,1.22525e-05,1.22525e-05,1.22525e-05
3,11.6592,0,15.446,0,0,0,0,0,0,13.3902,0,2.401e-05,2.401e-05,2.401e-05
4,15.7174,0,15.2003,0,0,0,0,0,0,13.3922,0,3.52725e-05,3.52725e-05,3.52725e-05
5,19.7544,0,15.1356,0,0,0,0,0,0,13.4034,0,4.604e-05,4.604e-05,4.604e-05
6,23.6924,0,15.0431,0,0,0,0,0,0,13.4056,0,5.63125e-05,5.63125e-05,5.63125e-05
7,27.7706,0,14.8813,0,0,0,0,0,0,13.4022,0,6.609e-05,6.609e-05,6.609e-05
8,31.624,0,14.8405,0,0,0,0,0,0,13.4048,0,7.53725e-05,7.53725e-05,7.53725e-05
9,35.6422,0,14.7492,0,0,0,0,0,0,13.4003,0,8.416e-05,8.416e-05,8.416e-05
10,39.6972,0,14.591,0,0,0,0,0,0,13.3996,0,9.24525e-05,9.24525e-05,9.24525e-05
11,43.7375,0,14.4301,0,0,0,0,0,0,13.3969,0,0.00010025,0.00010025,0.00010025
12,47.6823,0,14.2143,0,0,0,0,0,0,13.3925,0,0.000107553,0.000107553,0.000107553
13,51.7116,0,14.1278,0,0,0,0,0,0,13.3819,0,0.00011436,0.00011436,0.00011436
14,55.5742,0,13.8849,0,0,0,0,0,0,13.3792,0,0.000120672,0.000120672,0.000120672
15,59.4964,0,13.6281,0,0,0,0,0,0,13.3708,0,0.00012649,0.00012649,0.00012649
16,63.4434,0,13.574,0,0,0,0,0,0,13.3646,0,0.000131813,0.000131813,0.000131813
17,67.1126,0,13.229,0,0,0,0,0,0,13.3594,0,0.00013664,0.00013664,0.00013664
18,70.6384,0,12.9957,0,0,0,0,0,0,13.3594,0,0.000140972,0.000140972,0.000140972
19,74.4721,0,12.9911,0,0,0,0,0,0,13.3559,0,0.00014481,0.00014481,0.00014481
20,78.4375,0,12.7603,0,0,0,0,0,0,13.3559,0,0.000148153,0.000148153,0.000148153
21,82.4211,0,12.7732,0,0,0,0,0,0,13.3501,0,0.000151,0.000151,0.000151
22,86.0247,0,12.5235,0,0,0,0,0,0,13.3501,0,0.000153353,0.000153353,0.000153353
23,90.0967,0,12.8418,0,0,0,0,0,0,13.3256,0,0.00015521,0.00015521,0.00015521
24,93.8253,0,12.2483,0,0,0,0,0,0,13.3256,0,0.000156573,0.000156573,0.000156573
25,97.7142,0,12.3241,0,0,0,0,0,0,13.2978,0,0.00015744,0.00015744,0.00015744
26,101.519,0,12.2696,0,0,0,0,0,0,13.2978,0,0.000157812,0.000157812,0.000157812
27,105.341,0,12.0694,0,0,0,0,0,0,13.2276,0,0.00015769,0.00015769,0.00015769
28,109.074,0,11.9536,0,0,0,0,0,0,13.2276,0,0.000157072,0.000157072,0.000157072
29,113.126,0,12.3079,0,0,0,0,0,0,13.1418,0,0.00015596,0.00015596,0.00015596
30,116.842,0,11.8683,0,0,0,0,0,0,13.1418,0,0.000154352,0.000154352,0.000154352
31,120.817,0,11.6105,0,0,0,0,0,0,13.045,0,0.00015225,0.00015225,0.00015225
32,124.623,0,11.5394,0,0,0,0,0,0,13.045,0,0.000149652,0.000149652,0.000149652
33,128.502,0,11.5244,0,0,0,0,0,0,12.9387,0,0.00014656,0.00014656,0.00014656
34,132.28,0,11.4149,0,0,0,0,0,0,12.9387,0,0.000142972,0.000142972,0.000142972
35,135.995,0,11.3283,0,0,0,0,0,0,12.8264,0,0.00013889,0.00013889,0.00013889
36,139.725,0,11.2578,0,0,0,0,0,0,12.8264,0,0.000134313,0.000134313,0.000134313
37,143.727,0,11.2239,0,0,0,0,0,0,12.7015,0,0.00012924,0.00012924,0.00012924
38,147.431,0,11.2186,0,0,0,0,0,0,12.7015,0,0.000123672,0.000123672,0.000123672
39,151.305,0,11.0791,0,0,0,0,0,0,12.5334,0,0.00011761,0.00011761,0.00011761
40,155.051,0,11.0079,0,0,0,0,0,0,12.5334,0,0.000111052,0.000111052,0.000111052
41,158.996,0,10.9902,0,0,0,0,0,0,12.3559,0,0.000104,0.000104,0.000104
42,162.836,0,11.0611,0,0,0,0,0,0,12.3559,0,9.64525e-05,9.64525e-05,9.64525e-05
43,166.781,0,10.9702,0,0,0,0,0,0,12.1729,0,8.841e-05,8.841e-05,8.841e-05
44,170.516,0,10.8662,0,0,0,0,0,0,12.1729,0,7.98725e-05,7.98725e-05,7.98725e-05
45,174.684,0,10.9481,0,0,0,0,0,0,11.9866,0,7.084e-05,7.084e-05,7.084e-05
46,178.71,0,10.739,0,0,0,0,0,0,11.9866,0,6.13125e-05,6.13125e-05,6.13125e-05
47,182.883,0,10.805,0,0,0,0,0,0,11.8672,0,5.129e-05,5.129e-05,5.129e-05
48,186.518,0,10.7262,0,0,0,0,0,0,11.8672,0,4.07725e-05,4.07725e-05,4.07725e-05
49,190.519,0,10.7133,0,0,0,0,0,0,11.7622,0,2.976e-05,2.976e-05,2.976e-05
50,194.832,0,10.7375,0,0,0,0,0,0,11.7622,0,1.82525e-05,1.82525e-05,1.82525e-05
