epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.67124,2.90436,4.13208,3.14093,0.00333,1,0.00364,0.00142,2.87107,4.46416,4.30447,0,0,0
2,7.44663,2.87999,3.82969,3.0882,0.00333,1,0.00398,0.00152,2.86735,4.32473,4.28097,1.9604e-05,1.9604e-05,1.9604e-05
3,11.0763,2.15251,3.21065,2.0931,0.00333,1,0.00429,0.00126,2.84541,4.39793,4.28057,3.8416e-05,3.8416e-05,3.8416e-05
4,14.9274,2.09948,3.44745,2.45004,0.00333,1,0.00448,0.00134,2.82062,4.24022,4.30075,5.6436e-05,5.6436e-05,5.6436e-05
5,18.6599,2.31138,3.95048,2.94802,0.00333,1,0.00485,0.00146,2.78947,4.28314,4.29645,7.3664e-05,7.3664e-05,7.3664e-05
6,22.2099,2.89014,3.65459,3.01287,0.00333,1,0.4975,0.05075,2.91114,4.15029,4.19947,9.01e-05,9.01e-05,9.01e-05
7,25.6932,1.79242,3.06447,2.01671,0.00333,1,0.995,0.10061,3.05239,3.92238,3.89969,0.000105744,0.000105744,0.000105744
8,28.9982,2.33832,3.85225,2.56877,0.00333,1,0.33167,0.03987,3.05885,3.65241,3.67999,0.000120596,0.000120596,0.000120596
9,32.2721,2.07469,3.17042,2.30638,0.00333,1,0.33167,0.03987,3.05885,3.65241,3.67999,0.000134656,0.000134656,0.000134656
10,35.7582,1.85417,2.83725,1.556,0.00333,1,0.33167,0.05372,3.13859,3.74118,3.35703,0.000147924,0.000147924,0.000147924
11,39.0259,2.32888,3.39724,2.36756,0.00333,1,0.33167,0.05372,3.13859,3.74118,3.35703,0.0001604,0.0001604,0.0001604
12,42.923,1.91377,2.69835,1.53705,0.00333,1,0.4975,0.08359,3.04808,3.78897,3.05019,0.000172084,0.000172084,0.000172084
13,46.3477,1.66611,3.10908,1.96134,0.00333,1,0.4975,0.08359,3.04808,3.78897,3.05019,0.000182976,0.000182976,0.000182976
14,49.7707,1.03396,2.9178,1.55014,0.00333,1,0.995,0.199,2.8967,3.66838,2.66917,0.000193076,0.000193076,0.000193076
15,53.228,1.56679,2.26685,1.29992,0.00333,1,0.995,0.199,2.8967,3.66838,2.66917,0.000202384,0.000202384,0.000202384
16,56.7218,1.96069,3.17215,1.60814,0.00333,1,0.995,0.20729,2.46965,4.7857,2.36077,0.0002109,0.0002109,0.0002109
17,59.923,1.69605,2.16743,1.44141,0.00333,1,0.995,0.20729,2.46965,4.7857,2.36077,0.000218624,0.000218624,0.000218624
18,63.534,1.51081,2.48226,1.55737,0.00333,1,0.4975,0.14925,2.66269,4.60944,2.60775,0.000225556,0.000225556,0.000225556
19,66.7296,1.25875,2.39264,1.46105,0.00333,1,0.4975,0.14925,2.66269,4.60944,2.60775,0.000231696,0.000231696,0.000231696
20,70.2749,1.46182,1.90702,1.38402,0.00333,1,0.4975,0.10022,2.89568,3.90789,2.97958,0.000237044,0.000237044,0.000237044
21,73.9103,1.45703,2.33017,1.44498,0.00333,1,0.4975,0.10022,2.89568,3.90789,2.97958,0.0002416,0.0002416,0.0002416
22,77.2482,1.7219,2.63154,1.68919,0.00333,1,0.4975,0.13267,2.89714,4.15169,2.8596,0.000245364,0.000245364,0.000245364
23,80.9815,1.45383,1.24449,1.33607,0.00333,1,0.4975,0.13267,2.89714,4.15169,2.8596,0.000248336,0.000248336,0.000248336
